ClearML Task: created new task id=401bbfcbc0af4c71a858377587021747
ClearML results page: https://clearml.budda.site/projects/08d9e4b8a1334ad7ba45150d8a16b97e/experiments/401bbfcbc0af4c71a858377587021747/output/log
09:24:41  loading cache ['/mnt/nvme6t/e2e_calib_cache/zod_v3_tiled_clean_i', '/mnt/nvme6t/e2e_calib_cache/tss4_v3_tiled'] (V3 full-image)
09:24:41    perturbation: ±1.5 deg / ±0.6 m   fx/fy: ±0.00% / ±0.00%   crop_px=[128, 512] (full-image px → 128)
<unknown>:83: SyntaxWarning: invalid escape sequence '\s'
2026-05-14 09:25:49,689 - clearml.model - WARNING - Connecting multiple input models with the same name: `meta`. This might result in the wrong model being used when executing remotely
09:25:58    + cache /mnt/nvme6t/e2e_calib_cache/zod_v3_tiled_clean_i: train=2339520 val=37560
09:26:05    + cache /mnt/nvme6t/e2e_calib_cache/tss4_v3_tiled: train=223040 val=3920
09:26:05  train cache(s) loaded: 2562560 instances
09:26:05  val cache loaded: 41480 instances (oversample=1)
09:26:05  sequence-level split (cache pre-built): train=2562560 val=41480
09:26:05    val subsample: 8000/41480 (deterministic first-N)
09:26:05  params: 1.81M
09:26:05  amp_dtype=torch.bfloat16 scaler_enabled=False device=NVIDIA GeForce RTX 5080 cc=(12, 0)
cache: /mnt/nvme6t/e2e_calib_cache/zod_v3_tiled_clean_i  insts: 330000  scenes: 8250  rendering 30 → experiments/zod_tss4_20260514_joint_intensity_4ch_os8_100ep/vis_pretrain
  pre_00: idx=257541  scene=074287 frame=74287  N=247 obj=25
09:52:40  [  1/100]  train nll=+5.281(pt=+5.281 fr=+nan obj=+5.689 bg=+5.242) mse=11.60(obj=14.09/m11.17/95p36.2 bg=11.35/m9.64/95p26.1)  val nll=+4.872(pt=+4.872 fr=+nan obj=+5.157 bg=+4.833) mse=9.78(obj=11.49/m9.25/95p28.5 bg=9.55/m8.23/95p21.4)  lr=1.20e-04  tot=26.6min
09:52:40    ↳ saved (val_nll=4.8721)
                                            0% | 0.00/6.96 MB [00:00<?, ?MB/s]: █████████████████████████████████ 100% | 6.96/6.96 MB [00:00<00:00, 22.25MB/s]: 
  step 100  loss=+4.979  sps=1545
  step 200  loss=+5.058  sps=1571
  step 300  loss=+4.963  sps=1580
  step 400  loss=+4.941  sps=1595
  step 500  loss=+4.976  sps=1579
  step 600  loss=+4.975  sps=1579
  step 700  loss=+5.093  sps=1596
  step 800  loss=+5.033  sps=1596
  step 900  loss=+4.798  sps=1585
  step 1000  loss=+5.027  sps=1587
  step 1100  loss=+4.990  sps=1595
  step 1200  loss=+4.873  sps=1581
  step 1300  loss=+4.953  sps=1573
  step 1400  loss=+5.044  sps=1570
  step 1500  loss=+4.963  sps=1582
  step 1600  loss=+4.935  sps=1580
  step 1700  loss=+4.862  sps=1571
  step 1800  loss=+4.781  sps=1579
  step 1900  loss=+4.967  sps=1587
  step 2000  loss=+4.932  sps=1582
  step 2100  loss=+4.861  sps=1574
  step 2200  loss=+4.851  sps=1577
  step 2300  loss=+5.005  sps=1575
  step 2400  loss=+4.947  sps=1569
  step 2500  loss=+4.974  sps=1571
  step 2600  loss=+4.890  sps=1567
  step 2700  loss=+4.850  sps=1566
  step 2800  loss=+5.029  sps=1566
  step 2900  loss=+4.809  sps=1564
  step 3000  loss=+4.726  sps=1566
  step 3100  loss=+4.758  sps=1562
  step 3200  loss=+5.017  sps=1560
  step 3300  loss=+4.934  sps=1562
  step 3400  loss=+4.891  sps=1561
  step 3500  loss=+4.801  sps=1565
  step 3600  loss=+4.838  sps=1567
  step 3700  loss=+4.819  sps=1574
  step 3800  loss=+4.801  sps=1583
  step 3900  loss=+4.756  sps=1585
  step 4000  loss=+5.083  sps=1592
  step 4100  loss=+4.801  sps=1600
  step 4200  loss=+4.860  sps=1608
  step 4300  loss=+4.840  sps=1609
  step 4400  loss=+4.888  sps=1609
  step 4500  loss=+4.824  sps=1608
  step 4600  loss=+4.735  sps=1604
  step 4700  loss=+4.735  sps=1603
  step 4800  loss=+4.585  sps=1602
  step 4900  loss=+4.901  sps=1602
  step 5000  loss=+4.817  sps=1599
  step 5100  loss=+4.785  sps=1598
  step 5200  loss=+5.028  sps=1596
  step 5300  loss=+4.907  sps=1593
  step 5400  loss=+4.815  sps=1593
  step 5500  loss=+4.859  sps=1590
  step 5600  loss=+4.931  sps=1592
  step 5700  loss=+4.725  sps=1596
  step 5800  loss=+4.709  sps=1600
  step 5900  loss=+4.779  sps=1600
  step 6000  loss=+4.692  sps=1598
  step 6100  loss=+4.725  sps=1596
  step 6200  loss=+4.851  sps=1597
  step 6300  loss=+4.718  sps=1597
  step 6400  loss=+4.832  sps=1596
  step 6500  loss=+4.566  sps=1594
  step 6600  loss=+4.803  sps=1594
  step 6700  loss=+4.943  sps=1593
  step 6800  loss=+4.661  sps=1591
  step 6900  loss=+4.839  sps=1592
  step 7000  loss=+4.920  sps=1588
  step 7100  loss=+4.729  sps=1588
  step 7200  loss=+5.004  sps=1585
  step 7300  loss=+4.716  sps=1586
  step 7400  loss=+4.635  sps=1584
  step 7500  loss=+4.805  sps=1585
  step 7600  loss=+4.592  sps=1584
  step 7700  loss=+4.768  sps=1583
  step 7800  loss=+4.749  sps=1584
  step 7900  loss=+4.801  sps=1586
  step 8000  loss=+4.730  sps=1587
  step 8100  loss=+4.634  sps=1588
  step 8200  loss=+4.701  sps=1590
  step 8300  loss=+4.962  sps=1594
  step 8400  loss=+4.671  sps=1595
  step 8500  loss=+4.644  sps=1598
  step 8600  loss=+4.644  sps=1602
  step 8700  loss=+4.644  sps=1605
  step 8800  loss=+4.671  sps=1609
  step 8900  loss=+4.619  sps=1608
  step 9000  loss=+4.575  sps=1607
  step 9100  loss=+4.552  sps=1606
  step 9200  loss=+4.786  sps=1605
  step 9300  loss=+4.663  sps=1604
  step 9400  loss=+4.788  sps=1605
  step 9500  loss=+4.702  sps=1603
  step 9600  loss=+4.672  sps=1603
  step 9700  loss=+4.636  sps=1602
  step 9800  loss=+4.670  sps=1601
  step 9900  loss=+4.644  sps=1602
  step 10000  loss=+4.619  sps=1603
10:19:25  [  2/100]  train nll=+4.823(pt=+4.823 fr=+nan obj=+5.124 bg=+4.794) mse=9.51(obj=11.26/m8.92/95p28.7 bg=9.34/m7.94/95p21.2)  val nll=+4.872(pt=+4.872 fr=+nan obj=+5.157 bg=+4.833) mse=9.78(obj=11.49/m9.25/95p28.5 bg=9.55/m8.23/95p21.4)  lr=1.80e-04  tot=53.3min
  step 100  loss=+4.738  sps=1456
  step 200  loss=+4.830  sps=1565
  step 300  loss=+4.560  sps=1576
  step 400  loss=+4.703  sps=1593
  step 500  loss=+4.664  sps=1582
  step 600  loss=+4.765  sps=1568
  step 700  loss=+4.444  sps=1569
  step 800  loss=+5.040  sps=1561
  step 900  loss=+4.515  sps=1573
  step 1000  loss=+4.721  sps=1570
  step 1100  loss=+4.542  sps=1573
  step 1200  loss=+4.971  sps=1561
  step 1300  loss=+4.693  sps=1557
  step 1400  loss=+4.713  sps=1564
  step 1500  loss=+4.758  sps=1569
  step 1600  loss=+4.690  sps=1566
  step 1700  loss=+4.734  sps=1562
  step 1800  loss=+4.635  sps=1564
  step 1900  loss=+4.764  sps=1560
  step 2000  loss=+4.620  sps=1561
  step 2100  loss=+4.600  sps=1559
  step 2200  loss=+4.587  sps=1560
  step 2300  loss=+4.552  sps=1561
  step 2400  loss=+4.683  sps=1560
  step 2500  loss=+4.585  sps=1553
  step 2600  loss=+4.774  sps=1554
  step 2700  loss=+4.725  sps=1548
  step 2800  loss=+4.400  sps=1554
  step 2900  loss=+4.619  sps=1551
  step 3000  loss=+4.552  sps=1555
  step 3100  loss=+4.444  sps=1553
  step 3200  loss=+4.689  sps=1557
  step 3300  loss=+4.510  sps=1560
  step 3400  loss=+4.546  sps=1563
  step 3500  loss=+4.622  sps=1571
  step 3600  loss=+4.573  sps=1578
  step 3700  loss=+4.469  sps=1581
  step 3800  loss=+4.525  sps=1589
  step 3900  loss=+4.562  sps=1596
  step 4000  loss=+4.802  sps=1603
  step 4100  loss=+4.540  sps=1602
  step 4200  loss=+4.647  sps=1601
  step 4300  loss=+4.599  sps=1603
  step 4400  loss=+4.536  sps=1601
  step 4500  loss=+4.680  sps=1598
  step 4600  loss=+4.427  sps=1599
  step 4700  loss=+4.519  sps=1597
  step 4800  loss=+4.555  sps=1596
  step 4900  loss=+4.436  sps=1596
  step 5000  loss=+4.644  sps=1595
  step 5100  loss=+4.591  sps=1595
  step 5200  loss=+4.547  sps=1594
  step 5300  loss=+4.759  sps=1594
  step 5400  loss=+4.597  sps=1592
  step 5500  loss=+4.578  sps=1591
  step 5600  loss=+4.487  sps=1591
  step 5700  loss=+4.618  sps=1590
  step 5800  loss=+4.526  sps=1591
  step 5900  loss=+4.691  sps=1592
  step 6000  loss=+4.370  sps=1591
  step 6100  loss=+4.601  sps=1590
  step 6200  loss=+4.402  sps=1588
  step 6300  loss=+4.538  sps=1587
  step 6400  loss=+4.552  sps=1587
  step 6500  loss=+4.380  sps=1585
  step 6600  loss=+4.355  sps=1583
  step 6700  loss=+4.497  sps=1582
  step 6800  loss=+4.458  sps=1581
  step 6900  loss=+4.391  sps=1581
  step 7000  loss=+4.421  sps=1581
  step 7100  loss=+4.375  sps=1579
  step 7200  loss=+4.503  sps=1578
  step 7300  loss=+4.303  sps=1579
  step 7400  loss=+4.495  sps=1582
  step 7500  loss=+4.671  sps=1585
  step 7600  loss=+4.481  sps=1589
  step 7700  loss=+4.462  sps=1589
  step 7800  loss=+4.494  sps=1590
  step 7900  loss=+4.337  sps=1589
  step 8000  loss=+4.288  sps=1587
  step 8100  loss=+4.465  sps=1586
  step 8200  loss=+4.412  sps=1584
  step 8300  loss=+4.354  sps=1583
  step 8400  loss=+4.327  sps=1582
  step 8500  loss=+4.422  sps=1581
  step 8600  loss=+4.488  sps=1581
  step 8700  loss=+4.505  sps=1580
  step 8800  loss=+4.396  sps=1581
  step 8900  loss=+4.586  sps=1581
  step 9000  loss=+4.342  sps=1580
  step 9100  loss=+4.427  sps=1580
  step 9200  loss=+4.245  sps=1580
  step 9300  loss=+4.453  sps=1581
  step 9400  loss=+4.313  sps=1579
  step 9500  loss=+4.200  sps=1580
  step 9600  loss=+4.447  sps=1580
  step 9700  loss=+4.386  sps=1581
  step 9800  loss=+4.423  sps=1580
  step 9900  loss=+4.272  sps=1581
  step 10000  loss=+4.349  sps=1581
10:46:29  [  3/100]  train nll=+4.546(pt=+4.546 fr=+nan obj=+4.784 bg=+4.524) mse=8.43(obj=9.73/m7.43/95p25.6 bg=8.30/m6.84/95p19.5)  val nll=+4.872(pt=+4.872 fr=+nan obj=+5.157 bg=+4.833) mse=9.78(obj=11.49/m9.25/95p28.5 bg=9.55/m8.23/95p21.4)  lr=2.40e-04  tot=80.4min
  step 100  loss=+4.493  sps=1440
  step 200  loss=+4.487  sps=1520
  step 300  loss=+4.352  sps=1551
  step 400  loss=+4.460  sps=1542
  step 500  loss=+4.401  sps=1551
  step 600  loss=+4.356  sps=1530
  step 700  loss=+4.332  sps=1540
  step 800  loss=+4.377  sps=1537
  step 900  loss=+4.578  sps=1541
  step 1000  loss=+4.540  sps=1530
  step 1100  loss=+4.253  sps=1524
  step 1200  loss=+4.538  sps=1540
  step 1300  loss=+4.639  sps=1535
  step 1400  loss=+4.460  sps=1546
  step 1500  loss=+4.443  sps=1549
  step 1600  loss=+4.270  sps=1553
  step 1700  loss=+4.326  sps=1539
  step 1800  loss=+4.322  sps=1551
  step 1900  loss=+4.406  sps=1543
  step 2000  loss=+4.363  sps=1547
  step 2100  loss=+4.354  sps=1550
  step 2200  loss=+4.370  sps=1544
  step 2300  loss=+4.354  sps=1540
  step 2400  loss=+4.288  sps=1543
  step 2500  loss=+4.313  sps=1542
  step 2600  loss=+4.144  sps=1541
  step 2700  loss=+4.304  sps=1543
  step 2800  loss=+4.351  sps=1539
  step 2900  loss=+4.432  sps=1540
  step 3000  loss=+4.375  sps=1536
  step 3100  loss=+4.298  sps=1539
  step 3200  loss=+4.409  sps=1544
  step 3300  loss=+4.435  sps=1541
  step 3400  loss=+4.438  sps=1541
  step 3500  loss=+4.301  sps=1543
  step 3600  loss=+4.246  sps=1546
  step 3700  loss=+4.353  sps=1552
  step 3800  loss=+4.385  sps=1558
  step 3900  loss=+4.363  sps=1565
  step 4000  loss=+4.344  sps=1567
  step 4100  loss=+4.612  sps=1566
  step 4200  loss=+4.446  sps=1564
  step 4300  loss=+4.428  sps=1562
  step 4400  loss=+4.306  sps=1565
  step 4500  loss=+4.168  sps=1564
  step 4600  loss=+4.188  sps=1564
  step 4700  loss=+4.325  sps=1561
  step 4800  loss=+4.384  sps=1562
  step 4900  loss=+4.077  sps=1559
  step 5000  loss=+4.314  sps=1558
  step 5100  loss=+4.176  sps=1558
  step 5200  loss=+4.297  sps=1560
  step 5300  loss=+4.321  sps=1558
  step 5400  loss=+4.291  sps=1555
  step 5500  loss=+4.380  sps=1557
  step 5600  loss=+4.207  sps=1556
  step 5700  loss=+4.358  sps=1556
  step 5800  loss=+4.279  sps=1554
  step 5900  loss=+4.304  sps=1552
  step 6000  loss=+4.322  sps=1551
  step 6100  loss=+4.124  sps=1549
  step 6200  loss=+4.365  sps=1547
  step 6300  loss=+4.391  sps=1548
  step 6400  loss=+4.360  sps=1546
  step 6500  loss=+4.254  sps=1547
  step 6600  loss=+4.323  sps=1547
  step 6700  loss=+4.432  sps=1546
  step 6800  loss=+4.447  sps=1547
  step 6900  loss=+4.164  sps=1548
  step 7000  loss=+4.120  sps=1547
  step 7100  loss=+4.225  sps=1549
  step 7200  loss=+4.185  sps=1551
  step 7300  loss=+4.272  sps=1550
  step 7400  loss=+4.227  sps=1547
  step 7500  loss=+4.234  sps=1547
  step 7600  loss=+4.231  sps=1549
  step 7700  loss=+4.471  sps=1549
  step 7800  loss=+4.265  sps=1549
  step 7900  loss=+4.405  sps=1550
  step 8000  loss=+4.262  sps=1550
  step 8100  loss=+4.094  sps=1550
  step 8200  loss=+4.220  sps=1550
  step 8300  loss=+4.195  sps=1551
  step 8400  loss=+4.171  sps=1550
  step 8500  loss=+4.169  sps=1550
  step 8600  loss=+4.262  sps=1550
  step 8700  loss=+4.440  sps=1550
  step 8800  loss=+4.243  sps=1551
  step 8900  loss=+4.244  sps=1552
  step 9000  loss=+4.237  sps=1551
  step 9100  loss=+4.267  sps=1550
  step 9200  loss=+4.043  sps=1554
  step 9300  loss=+4.144  sps=1555
  step 9400  loss=+4.298  sps=1556
  step 9500  loss=+4.242  sps=1559
  step 9600  loss=+4.230  sps=1559
  step 9700  loss=+4.334  sps=1560
  step 9800  loss=+4.129  sps=1559
  step 9900  loss=+4.041  sps=1560
  step 10000  loss=+4.244  sps=1561
11:13:55  [  4/100]  train nll=+4.314(pt=+4.314 fr=+nan obj=+4.483 bg=+4.298) mse=7.60(obj=8.54/m6.24/95p23.3 bg=7.51/m5.99/95p18.3)  val nll=+4.872(pt=+4.872 fr=+nan obj=+5.157 bg=+4.833) mse=9.78(obj=11.49/m9.25/95p28.5 bg=9.55/m8.23/95p21.4)  lr=3.00e-04  tot=107.8min
  step 100  loss=+4.432  sps=1323
  step 200  loss=+4.124  sps=1489
  step 300  loss=+4.246  sps=1489
  step 400  loss=+4.242  sps=1508
  step 500  loss=+4.355  sps=1511
  step 600  loss=+4.530  sps=1526
  step 700  loss=+4.262  sps=1542
  step 800  loss=+4.134  sps=1543
  step 900  loss=+4.172  sps=1536
  step 1000  loss=+4.401  sps=1552
  step 1100  loss=+4.275  sps=1561
  step 1200  loss=+4.213  sps=1580
  step 1300  loss=+4.412  sps=1595
  step 1400  loss=+4.434  sps=1610
  step 1500  loss=+4.247  sps=1625
  step 1600  loss=+4.234  sps=1624
  step 1700  loss=+4.238  sps=1610
  step 1800  loss=+4.317  sps=1615
  step 1900  loss=+4.015  sps=1609
  step 2000  loss=+4.329  sps=1609
  step 2100  loss=+4.219  sps=1602
  step 2200  loss=+4.124  sps=1603
  step 2300  loss=+4.044  sps=1596
  step 2400  loss=+4.291  sps=1596
  step 2500  loss=+4.048  sps=1586
  step 2600  loss=+3.962  sps=1586
  step 2700  loss=+4.069  sps=1581
  step 2800  loss=+4.115  sps=1575
  step 2900  loss=+4.191  sps=1571
  step 3000  loss=+4.366  sps=1566
  step 3100  loss=+4.059  sps=1572
  step 3200  loss=+4.220  sps=1572
  step 3300  loss=+4.367  sps=1572
  step 3400  loss=+4.268  sps=1574
  step 3500  loss=+4.164  sps=1572
  step 3600  loss=+4.070  sps=1574
  step 3700  loss=+4.226  sps=1572
  step 3800  loss=+4.004  sps=1572
  step 3900  loss=+4.154  sps=1575
  step 4000  loss=+4.000  sps=1570
  step 4100  loss=+4.241  sps=1571
  step 4200  loss=+4.034  sps=1568
  step 4300  loss=+4.109  sps=1566
  step 4400  loss=+4.052  sps=1568
  step 4500  loss=+4.153  sps=1568
  step 4600  loss=+4.058  sps=1565
  step 4700  loss=+4.045  sps=1564
  step 4800  loss=+4.059  sps=1564
  step 4900  loss=+4.184  sps=1562
  step 5000  loss=+4.141  sps=1563
  step 5100  loss=+4.264  sps=1560
  step 5200  loss=+4.057  sps=1560
  step 5300  loss=+4.256  sps=1560
  step 5400  loss=+4.108  sps=1562
  step 5500  loss=+4.127  sps=1559
  step 5600  loss=+3.933  sps=1557
  step 5700  loss=+4.046  sps=1559
  step 5800  loss=+4.286  sps=1557
  step 5900  loss=+4.183  sps=1557
  step 6000  loss=+4.109  sps=1558
  step 6100  loss=+4.183  sps=1559
  step 6200  loss=+4.038  sps=1559
  step 6300  loss=+4.140  sps=1557
  step 6400  loss=+4.016  sps=1556
  step 6500  loss=+4.309  sps=1558
  step 6600  loss=+4.092  sps=1559
  step 6700  loss=+4.127  sps=1562
  step 6800  loss=+3.953  sps=1566
  step 6900  loss=+4.124  sps=1569
  step 7000  loss=+4.092  sps=1572
  step 7100  loss=+4.045  sps=1576
  step 7200  loss=+4.167  sps=1576
  step 7300  loss=+4.131  sps=1576
  step 7400  loss=+3.984  sps=1574
  step 7500  loss=+4.049  sps=1573
  step 7600  loss=+4.124  sps=1572
  step 7700  loss=+4.133  sps=1571
  step 7800  loss=+4.172  sps=1572
  step 7900  loss=+4.328  sps=1573
  step 8000  loss=+3.908  sps=1572
  step 8100  loss=+3.933  sps=1573
  step 8200  loss=+4.176  sps=1571
  step 8300  loss=+3.953  sps=1570
  step 8400  loss=+4.184  sps=1571
  step 8500  loss=+4.149  sps=1573
  step 8600  loss=+4.119  sps=1577
  step 8700  loss=+4.059  sps=1579
  step 8800  loss=+4.114  sps=1581
  step 8900  loss=+3.918  sps=1582
  step 9000  loss=+4.169  sps=1582
  step 9100  loss=+3.980  sps=1581
  step 9200  loss=+3.901  sps=1580
  step 9300  loss=+4.154  sps=1580
  step 9400  loss=+4.219  sps=1578
  step 9500  loss=+4.014  sps=1580
  step 9600  loss=+4.100  sps=1580
  step 9700  loss=+3.856  sps=1579
  step 9800  loss=+4.130  sps=1579
  step 9900  loss=+3.957  sps=1579
  step 10000  loss=+4.048  sps=1581
11:41:09  [  5/100]  train nll=+4.154(pt=+4.154 fr=+nan obj=+4.288 bg=+4.142) mse=7.08(obj=7.81/m5.55/95p21.9 bg=7.00/m5.46/95p17.5)  val nll=+3.932(pt=+3.932 fr=+nan obj=+3.999 bg=+3.919) mse=6.43(obj=6.83/m4.60/95p20.0 bg=6.35/m4.82/95p16.4)  lr=3.00e-04  tot=135.1min
11:41:10    ↳ saved (val_nll=3.9323)
                                            0% | 0.00/6.96 MB [00:00<?, ?MB/s]: █████████████████████████████████ 100% | 6.96/6.96 MB [00:00<00:00, 46.86MB/s]: █████████████████████████████████ 100% | 6.96/6.96 MB [00:02<00:00,  3.10MB/s]: 
  step 100  loss=+3.932  sps=1331
  step 200  loss=+3.884  sps=1427
  step 300  loss=+4.200  sps=1460
  step 400  loss=+4.064  sps=1502
  step 500  loss=+3.846  sps=1515
  step 600  loss=+4.241  sps=1522
  step 700  loss=+4.022  sps=1536
  step 800  loss=+4.143  sps=1541
  step 900  loss=+3.940  sps=1527
  step 1000  loss=+3.898  sps=1538
